,attendance,entry_mode,id,scheduled,status,utc_offset
130,68756,INGEST,3c613d30-87b8-408a-b309-7b6af9a47e46,2006-11-12T18:03:02+00:00,closed,-5
131,73573,INGEST,6d95a9e2-ea6d-41e5-a92b-2457ba321e37,2006-11-14T01:40:30+00:00,closed,-5
132,57306,INGEST,7c39eaa2-125b-4d22-bcf4-3cffc2a1eb99,2006-11-12T18:02:32+00:00,closed,-5
133,70793,INGEST,7f5e5a43-23a5-45f2-aa10-060fb32d5216,2006-11-12T18:03:01+00:00,closed,-5
134,69143,INGEST,836e52ea-0d60-4abd-9489-3bdfc64b7b54,2006-11-12T18:03:03+00:00,closed,-5
135,61911,INGEST,888bbf32-0ecf-413c-a52a-358a6765b420,2006-11-12T21:16:20+00:00,closed,-5
136,63926,INGEST,aa2322cb-8a14-4671-adaf-cb81625944e2,2006-11-12T21:16:12+00:00,closed,-7
137,68175,INGEST,c152e91a-c687-4700-a260-8c403c2fe7d3,2006-11-12T21:17:10+00:00,closed,-8
138,65918,INGEST,cd4b5eab-b830-455e-a60c-d2d7fa41ed5b,2006-11-12T18:02:45+00:00,closed,-5
139,63924,INGEST,db3d84cb-c197-4820-9f34-afba0d9b7e52,2006-11-12T18:03:10+00:00,closed,-6
140,65917,INGEST,ec63cb37-0f55-4ed5-bf7f-f8627e29b900,2006-11-12T18:03:10+00:00,closed,-5
141,73132,INGEST,ef2fa946-4c3f-46da-bb41-6106e721dcdf,2006-11-12T18:03:18+00:00,closed,-5
142,78641,INGEST,f440ac0a-a89a-445a-9453-9016d88a728d,2006-11-13T01:21:02+00:00,closed,-5
143,69143,INGEST,f7d7451b-ba2d-445b-bc48-28de4d2b4fe3,2006-11-12T18:03:19+00:00,closed,-6
144,65699,INGEST,0c631116-76ef-463e-8543-315a0dbcb45a,2006-11-19T18:03:20+00:00,closed,-5
145,68367,INGEST,18752b18-f7fc-4829-a768-479de340c670,2006-11-19T21:05:28+00:00,closed,-8
146,70790,INGEST,18d1743f-7870-4ec5-b7aa-4afe92b2db86,2006-11-19T18:03:10+00:00,closed,-5
147,73070,INGEST,1b62d035-f154-4d07-b7f1-789c2828b284,2006-11-19T18:03:00+00:00,closed,-5
148,76723,INGEST,27bb4f32-8ee1-4c16-b6c0-5405b8ce16ea,2006-11-20T01:21:25+00:00,closed,-7
149,63348,INGEST,2ff466d1-1db0-46b5-91a8-d0e7d604bcd9,2006-11-19T21:05:43+00:00,closed,-7
150,77632,INGEST,4c67815b-9e0f-4a96-a5d1-7371d89f19b2,2006-11-19T18:04:05+00:00,closed,-5
151,68001,INGEST,52c0f3fa-bb9f-4942-94df-9a2bba5fbe72,2006-11-19T18:02:44+00:00,closed,-6
152,67164,INGEST,63bf8c58-ec13-453a-8d7c-e293946113b3,2006-11-21T01:40:19+00:00,closed,-5
153,78097,INGEST,6f1d4a78-6b19-4a04-801d-64cf6b3d186f,2006-11-19T18:02:41+00:00,closed,-6
154,63706,INGEST,7c555d79-2d66-431a-8065-126608e83dbd,2006-11-19T21:16:26+00:00,closed,-6
155,70125,INGEST,aa0f29d6-1e4f-4055-8d8d-53eba99f7b08,2006-11-19T18:03:00+00:00,closed,-6
156,73296,INGEST,b42da58c-cf31-45a5-9451-d4319beb7197,2006-11-19T18:03:11+00:00,closed,-5
157,70753,INGEST,d396d904-d4f2-4b7e-a792-225bf61927eb,2006-11-19T18:02:34+00:00,closed,-6
158,73348,INGEST,d77ecce9-0e6a-44e7-845b-2a51293bfcd0,2006-11-19T18:03:30+00:00,closed,-5
159,69232,INGEST,e1e5dd4a-0553-4a98-8276-56cf5ef68724,2006-11-19T18:02:23+00:00,closed,-5
160,68756,INGEST,048ff4e1-74b5-4d05-82e3-d70741243700,2006-11-26T21:15:51+00:00,closed,-5
161,79484,INGEST,15ddfd6c-730a-498a-a562-ee1b8e80a9c3,2006-11-24T01:12:59+00:00,closed,-6
162,76596,INGEST,196f8327-6050-4017-b324-aef4823e8a6e,2006-11-26T18:02:59+00:00,closed,-5
163,69143,INGEST,1a811b13-373d-4fbb-931a-76adadba066e,2006-11-26T21:15:59+00:00,closed,-6
164,63608,INGEST,20106e9c-9bd5-4ffb-a74b-880a63ebde1c,2006-11-26T18:04:13+00:00,closed,-5
165,68256,INGEST,35c01ead-4c5b-4d5c-bff7-a02e93d590be,2006-11-28T01:40:32+00:00,closed,-8
166,72926,INGEST,39071999-bef1-45b7-82dd-7ef881b27813,2006-11-26T18:02:48+00:00,closed,-5
167,57296,INGEST,3f054997-3533-46f6-9785-fab66d7e90b2,2006-11-27T01:21:08+00:00,closed,-5
168,65517,INGEST,538e2aec-a754-4123-bb6d-e28e18b026c4,2006-11-26T18:02:57+00:00,closed,-6
169,61562,INGEST,619fb2fa-fa3f-4601-b642-a5d39aa47c83,2006-11-23T17:39:02+00:00,closed,-5
170,63183,INGEST,62279dce-3a78-4d5a-be48-73ba37fa3cbd,2006-11-23T21:26:10+00:00,closed,-6
171,70933,INGEST,84701d25-6299-4311-8bed-6b66586b275d,2006-11-26T18:03:17+00:00,closed,-5
172,85450,INGEST,931c720f-e48d-430a-9dd7-46e39d90076a,2006-11-26T18:03:35+00:00,closed,-5
173,70946,INGEST,c074cdfb-36ca-40fc-accc-8a0d7f9803dd,2006-11-26T18:03:13+00:00,closed,-5
174,66105,INGEST,c0775a3f-4df7-4b2d-8ab2-68916c909ffe,2006-11-26T18:05:42+00:00,closed,-8
175,63483,INGEST,d12d2e38-e864-41f5-8072-0a339b70070a,2006-11-26T18:02:43+00:00,closed,-6
176,69143,INGEST,023851c8-805c-497e-8ea9-120dd1f59d30,2006-12-03T18:02:46+00:00,closed,-6
177,62221,INGEST,29285313-d753-49d0-a87e-604c9478dc00,2006-12-03T18:02:59+00:00,closed,-6
178,73160,INGEST,329544f3-c7ac-4d85-8027-789ce1fcd7f2,2006-12-03T21:05:37+00:00,closed,-5
