,attendance,entry_mode,id,scheduled,status,utc_offset,weather
97,63432,INGEST,9d9fd23a-92ed-4cfe-8235-62ef7216fbad,2007-10-21T20:15:23+00:00,closed,-6,
98,85640,INGEST,a3b36944-6d14-403c-817e-c0109f7b2b95,2007-10-21T17:02:45+00:00,closed,-5,
99,68164,INGEST,c3642c07-5b97-4629-96b3-a65d184dba66,2007-10-21T20:15:42+00:00,closed,-8,
100,77038,INGEST,dd332b84-79b6-473d-a7bf-4f24189cadb7,2007-10-22T00:23:41+00:00,closed,-7,
101,78912,INGEST,de358357-17cf-47f3-8335-fa9fbcda989c,2007-10-21T17:03:06+00:00,closed,-5,
102,62240,INGEST,fa5b97d1-cab1-4164-9b56-5982692a97e4,2007-10-21T20:05:40+00:00,closed,-8,
103,66188,INGEST,04f03d2b-fb76-4c75-8eaf-01c58f0011d5,2007-10-28T17:02:57+00:00,closed,-5,
104,65133,INGEST,2310b777-43bb-4b75-95f6-a2dacd07d333,2007-10-28T20:05:46+00:00,closed,-5,
105,74005,INGEST,32231249-5090-488b-9133-2754fadb5b1e,2007-10-28T18:02:31+00:00,closed,-5,
106,69143,INGEST,7ab1b300-6bee-48b3-9a3d-824f5951dd32,2007-10-28T17:02:42+00:00,closed,-6,
107,60439,INGEST,86c6f5df-3248-4b41-9a5a-31bd36ada2e1,2007-10-28T20:07:51+00:00,closed,-8,
108,68244,INGEST,9c1d676e-4bd6-47c3-b6a8-82706127a942,2007-10-28T21:18:01+00:00,closed,-8,
109,63019,INGEST,a1a34432-d796-4579-874d-f2dab0a05cb1,2007-10-28T17:05:26+00:00,closed,-6,
110,62777,INGEST,a4792766-908b-4e58-9e2d-d64167e9fef1,2007-10-28T17:03:04+00:00,closed,-6,
111,68756,INGEST,ba71f87d-198b-4033-a94d-99c26cc29f64,2007-10-28T20:17:44+00:00,closed,-5,
112,76688,INGEST,c2b4cde6-3dfb-407c-8bba-c76c0233088e,2007-10-28T21:05:36+00:00,closed,-5,
113,62171,INGEST,ed1d72ee-d868-49bb-b298-26da963f201e,2007-10-28T17:05:26+00:00,closed,-6,
114,77160,INGEST,f26e82ba-1279-42bf-ab84-1b80daf77c46,2007-10-30T00:40:46+00:00,closed,-7,
115,81176,INGEST,ffda9a26-3d92-4353-8348-8654adfe4800,2007-10-28T17:04:36+00:00,closed,-1,
116,70009,INGEST,03cc4e34-4cfb-4b03-ab6d-bd3634ea5eab,2007-11-04T18:02:27+00:00,closed,-6,
117,60783,INGEST,11b0681f-09aa-4332-b8e1-a27c014d3559,2007-11-04T18:02:53+00:00,closed,-5,
118,67688,INGEST,238d8988-39a5-40e6-bb7b-7d6ecb2dda99,2007-11-05T01:23:44+00:00,closed,-5,
119,78988,INGEST,2c26f279-7906-43e7-9f05-9b1ee66ca052,2007-11-04T18:03:08+00:00,closed,-6,
120,66049,INGEST,3579bae6-40e5-4908-b7d5-4ab2476c8a89,2007-11-04T18:02:38+00:00,closed,-5,
121,65267,INGEST,37b19b36-02ba-4c06-bfde-70d0bd91f958,2007-11-04T18:03:02+00:00,closed,-5,
122,76663,INGEST,3a4898c1-75bf-4c57-aa8f-a45ed2650d06,2007-11-04T18:03:00+00:00,closed,-5,
123,63457,INGEST,6c24fb9f-cfce-46e2-afcd-a1880d47a6c2,2007-11-06T01:40:50+00:00,closed,-5,
124,49603,INGEST,9aaef4dd-6bb3-4e02-998d-47546042d6a6,2007-11-04T21:15:27+00:00,closed,-8,
125,70745,INGEST,a8e25e93-29b7-43a5-b7f1-d9418a06d138,2007-11-04T18:02:24+00:00,closed,-5,
126,72927,INGEST,bcd6341d-55d6-4e33-8ec4-c9d13aefdd5b,2007-11-04T21:06:11+00:00,closed,-5,
127,57540,INGEST,d21c6519-d7e2-4aa7-9e6a-e2b3d8267bec,2007-11-04T21:18:18+00:00,closed,-5,
128,63043,INGEST,da45b855-4431-4941-846e-4c87ae3da216,2007-11-04T18:02:45+00:00,closed,-6,
129,69143,INGEST,efe4273a-494b-4a50-939e-ac9bf3f36e2f,2007-11-04T18:02:53+00:00,closed,-6,
130,77368,INGEST,0fda10e5-2371-41cd-8726-40cac66b7960,2007-11-11T18:02:43+00:00,closed,-6,
131,64753,INGEST,3b1f3a60-94e7-4a89-9c76-ffa7adfb119f,2007-11-12T07:02:15+00:00,closed,-7,
132,70615,INGEST,4470b678-dae6-46f7-8c5e-88edf0cd1b34,2007-11-11T18:02:55+00:00,closed,-5,
133,78964,INGEST,4499d4f9-5db7-4ec7-a2a3-e402c002a80e,2007-11-11T21:15:18+00:00,closed,-5,
134,68331,INGEST,68e21654-2f35-4d3e-a4b6-47cd3cb3667a,2007-11-13T01:40:29+00:00,closed,-8,
135,70003,INGEST,74e93d33-b15c-40ed-b3c3-4abe8622b133,2007-11-11T18:02:58+00:00,closed,-6,
136,71130,INGEST,78757215-d9af-4be5-87f3-990a5776c965,2007-11-11T21:06:24+00:00,closed,-5,
137,90218,INGEST,79345621-521d-4f16-bdc7-93663b780305,2007-11-11T18:03:13+00:00,closed,-5,
138,62715,INGEST,abf933ff-2be0-4ce9-b8af-e10b55776540,2007-11-11T21:15:38+00:00,closed,-8,
