,attendance,entry_mode,id,number,reference,scheduled,status,utc_offset
67,78200,INGEST,3c04ed97-d324-48d7-bb35-ec956f5b9f3f,67,55903,2013-10-06T17:03:04+00:00,closed,-6
68,64259,INGEST,4b3ebfe7-181b-455a-9173-c15c2b44857c,66,55902,2013-10-06T17:02:37+00:00,closed,-5
69,69143,INGEST,75bde93d-518d-4a7b-bbf1-50cab08d5330,72,55908,2013-10-06T17:03:17+00:00,closed,-6
70,71239,INGEST,86bf67e2-af7d-4f57-89c5-2cecc0b983be,64,55900,2013-10-04T00:29:38+00:00,closed,-5
71,92758,INGEST,9dd6dc5f-6632-47a2-9bf3-9fc6f6b348c4,74,55910,2013-10-06T20:25:46+00:00,closed,-6
72,70246,INGEST,c2d5e64d-ed0d-495e-8ec1-6bd3fd226f74,77,55913,2013-10-08T00:40:29+00:00,closed,-5
73,68342,INGEST,c6e609a3-f3d9-4af7-aaf7-c50850d8cafc,69,55905,2013-10-06T17:02:48+00:00,closed,-5
74,54266,INGEST,e5c7e52d-0849-4e4c-b723-5466d3197112,71,55907,2013-10-06T17:02:28+00:00,closed,-6
75,60426,INGEST,f461625b-739b-40e3-a584-f6cc90de80d2,73,55909,2013-10-06T20:06:26+00:00,closed,-8
76,66608,INGEST,f46ca246-5d50-4c01-83c0-bfd765e99235,68,55904,2013-10-06T17:03:27+00:00,closed,-5
77,71104,INGEST,2abccb3e-1a0c-4905-98fc-43f567cc975c,82,55918,2013-10-13T17:03:21+00:00,closed,-6
78,57954,INGEST,45787908-3a63-4981-a1cd-d3f535dbd969,92,55928,2013-10-15T00:41:20+00:00,closed,-8
79,71513,INGEST,464307fb-5e6b-4048-9660-968ddd7c79a3,81,55917,2013-10-13T17:02:54+00:00,closed,-5
80,69732,INGEST,46f17fa4-f2ef-41ef-9ede-00929c043ebe,90,55926,2013-10-13T20:25:17+00:00,closed,-8
81,76957,INGEST,53c476f5-543f-46e4-952a-39078ed54535,85,55921,2013-10-13T17:02:48+00:00,closed,-5
82,67739,INGEST,6e154e97-b99d-40d7-8f3d-fd9cb09d2c45,80,55916,2013-10-13T17:02:59+00:00,closed,-5
83,68127,INGEST,80635d24-4fb4-4b8a-ba6c-fabe6a545eef,88,55924,2013-10-13T20:05:41+00:00,closed,-8
84,76394,INGEST,84765c33-3678-4354-b722-a8b804f65b1b,83,55919,2013-10-13T17:02:53+00:00,closed,-6
85,62505,INGEST,8e142368-c61b-43f7-9597-0692b0fd7e92,86,55922,2013-10-13T17:03:13+00:00,closed,-5
86,76862,INGEST,9c74acd7-257d-4d87-8b97-4855fe2b6304,87,55923,2013-10-13T20:05:48+00:00,closed,-7
87,62374,INGEST,ce60383a-6b41-464f-a02d-6f2b43678cae,78,55914,2013-10-11T00:29:11+00:00,closed,-6
88,90239,INGEST,d099476b-b195-4d05-ac5e-38d87d48dacc,91,55927,2013-10-14T00:31:03+00:00,closed,-6
89,63963,INGEST,d11d883a-c9ae-497c-b5d6-50d2f81af1e7,84,55920,2013-10-13T17:03:23+00:00,closed,-6
90,68756,INGEST,e76450a1-a8df-46f6-96dc-6416dbfa03fe,89,55925,2013-10-13T20:25:31+00:00,closed,-5
91,71319,INGEST,eb289b02-1f84-4e9d-9085-749eba939a04,79,55915,2013-10-13T17:03:57+00:00,closed,-5
92,69143,INGEST,06c49ec3-7a0c-4a48-a579-9e11163ffa16,103,55939,2013-10-20T20:06:00+00:00,closed,-6
93,61200,INGEST,1d9ae6b9-55c1-492a-bb0a-bbe7bade4c80,93,55929,2013-10-18T00:29:32+00:00,closed,-8
94,76957,INGEST,20d2e51a-2c82-415a-9e2c-6c04793eb30a,100,55936,2013-10-20T17:03:29+00:00,closed,-5
95,69522,INGEST,268d622b-1f42-4933-a781-e11271cd3463,94,55930,2013-10-20T17:02:51+00:00,closed,-5
96,67196,INGEST,3988058a-946b-4955-a453-a42a94bd395b,106,55942,2013-10-21T00:31:24+00:00,closed,-5
97,74118,INGEST,3e1339fc-ce3b-4237-bcc4-a94446e97125,98,55934,2013-10-20T20:25:54+00:00,closed,-6
98,63207,INGEST,4562d053-5acc-4228-aa29-1a4ffba6a643,96,55932,2013-10-20T17:02:58+00:00,closed,-5
99,62295,INGEST,53a05755-95ac-4567-9de8-0f47c87f8a33,105,55941,2013-10-20T20:25:46+00:00,closed,-5
100,79314,INGEST,5494577c-74cd-45f7-9a6b-1abf869b59ed,107,55943,2013-10-22T00:40:45+00:00,closed,-5
101,77804,INGEST,54b4c573-e279-4fc5-af5c-7a4010187d6b,104,55940,2013-10-21T02:47:55+00:00,closed,-6
102,72686,INGEST,6df21ec8-69bd-43f4-b8ec-fa9cb76ec74a,95,55931,2013-10-20T17:04:02+00:00,closed,-5
103,59550,INGEST,7cd03c45-e067-4302-92bf-d69387bd29a5,97,55933,2013-10-20T17:02:40+00:00,closed,-5
104,83147,INGEST,84ec7271-9cb0-46b7-8329-1759033874a8,102,55938,2013-10-20T17:03:24+00:00,closed,-5
105,69144,INGEST,98c71b0b-0621-45d1-b365-27f9743c11be,101,55937,2013-10-20T17:02:45+00:00,closed,-5
106,60592,INGEST,e67e1d1a-0b8f-4389-bc9a-6e438b3349ed,99,55935,2013-10-20T17:02:45+00:00,closed,-5
107,64379,INGEST,091a2e49-9676-475a-a971-ff44319e88dc,109,55945,2013-10-27T17:03:01+00:00,closed,-5
108,55966,INGEST,1fcaa0af-f883-4cde-b6ba-99c2043e24ed,120,55956,2013-10-29T00:40:25+00:00,closed,-6
109,64134,INGEST,2101add1-3609-4e3d-821d-488490cdc6d4,119,55955,2013-10-28T00:30:51+00:00,closed,-6
110,83559,INGEST,311e06f4-5903-4256-914f-fc6c760fe16b,110,55946,2013-10-27T17:06:48+00:00,closed,-1
111,69144,INGEST,5ef1d70f-1724-4f6c-a336-cb45de67a1c0,114,55950,2013-10-27T17:02:46+00:00,closed,-5
112,52950,INGEST,60735be9-8d78-449c-9ce9-95d8e7fb475c,115,55951,2013-10-27T20:05:45+00:00,closed,-8
113,62576,INGEST,739c8619-130c-4685-839c-5c10ab2089ce,116,55952,2013-10-27T20:06:00+00:00,closed,-5
114,72405,INGEST,809bfd80-f8d8-42dd-b70f-1dc1417a941d,113,55949,2013-10-27T17:02:23+00:00,closed,-6
115,74307,INGEST,8991291e-3091-4afe-8b46-a55f1afc5189,111,55947,2013-10-27T17:02:43+00:00,closed,-6
116,77031,INGEST,a2e3c3f1-784f-4c1f-915b-a1d6f212ed22,118,55954,2013-10-27T20:25:49+00:00,closed,-7
117,59073,INGEST,a7d96802-7dfe-4ce7-9998-40b0d1fdda7a,108,55944,2013-10-25T00:29:35+00:00,closed,-5
118,68756,INGEST,cef61098-a738-4088-90c3-345fcdde437c,112,55948,2013-10-27T17:02:47+00:00,closed,-5
119,60671,INGEST,d527c806-2f13-4f60-bc5c-9d5584d35c93,117,55953,2013-10-27T20:25:34+00:00,closed,-8
120,78122,INGEST,08828edd-dfcd-4225-a073-3420cf8fda2f,133,55969,2013-11-05T01:41:14+00:00,closed,-6
