,attendance,entry_mode,id,number,reference,scheduled,status,utc_offset,weather
92,64560,INGEST,2a00184e-2a06-4e3b-b2c7-a8d389511d94,96,55599,2012-10-21T17:02:33+00:00,closed,-5,
93,69732,INGEST,4ec7505c-cc8e-4729-8ff2-a410d7e0195c,92,55595,2012-10-19T00:29:28+00:00,closed,-8,
94,64359,INGEST,4f9faa74-3cd4-4e6a-a727-6fae0030cc83,99,55602,2012-10-21T17:02:46+00:00,closed,-6,
95,62300,INGEST,5a4a870e-2158-477e-8aa4-821c7a2a2839,104,55607,2012-10-23T00:40:32+00:00,closed,-6,
96,58906,INGEST,6bf05fc1-8e11-44e0-bbb9-91efe06decf7,100,55603,2012-10-21T17:02:57+00:00,closed,-5,
97,71708,INGEST,7d1a7ad2-c7ea-4050-8d97-9257e9d96b13,95,55598,2012-10-21T17:02:23+00:00,closed,-6,
98,68752,INGEST,97fffa25-3c4f-45f4-9918-4710fc45b9c9,101,55604,2012-10-21T20:25:35+00:00,closed,-5,
99,68836,INGEST,9a38d9e9-aa16-4865-bac8-68854f978513,93,55596,2012-10-21T17:02:54+00:00,closed,-5,
100,61068,INGEST,af793107-1d27-406d-b887-a6d5ccf42ecb,97,55600,2012-10-21T17:03:00+00:00,closed,-6,
101,51634,INGEST,bb39815c-2223-4a0a-b278-9cb7bb91e3c4,102,55605,2012-10-21T20:25:37+00:00,closed,-8,
102,73981,INGEST,d1d6d910-5544-43e3-86ff-09e1c6b390cf,94,55597,2012-10-21T17:05:40+00:00,closed,-5,
103,81352,INGEST,f02b63c4-d5b5-42de-a8b1-2ce86e3d754a,98,55601,2012-10-21T17:02:57+00:00,closed,-5,
104,69144,INGEST,002fb9d6-a944-48ce-af64-7785e830e5bd,111,55614,2012-10-28T17:03:27+00:00,closed,-5,
105,65337,INGEST,04d51f99-798a-469f-bac9-2614ad62b3f5,107,55610,2012-10-28T17:06:23+00:00,closed,-5,
106,84004,INGEST,17322ee3-7486-463d-b085-312dfd6a3097,113,55616,2012-10-28T17:06:36+00:00,closed,-1,
107,76832,INGEST,4cb918e1-2db1-4c0d-bdff-dfd59b68995a,117,55620,2012-10-29T00:30:53+00:00,closed,-7,
108,62254,INGEST,5cfeacf7-c8b7-420e-bbb8-d911318e97f8,106,55609,2012-10-28T17:03:06+00:00,closed,-6,
109,60860,INGEST,8640c455-0289-416e-8c77-a0bd9a619433,105,55608,2012-10-26T00:29:34+00:00,closed,-6,
110,79088,INGEST,88d2c482-cdcb-413c-a753-d6e004cca8d0,110,55613,2012-10-28T17:06:34+00:00,closed,-5,
111,69143,INGEST,9d7d7b69-12a7-4fd8-a819-ceb6d4adc075,114,55617,2012-10-28T17:06:50+00:00,closed,-6,
112,63497,INGEST,bdb882b0-c95a-4e46-9854-39141b3feaf7,108,55611,2012-10-28T17:03:36+00:00,closed,-5,
113,94067,INGEST,c0da0c8c-0273-4791-bde0-412a3666f302,116,55619,2012-10-28T20:25:20+00:00,closed,-6,
