,attendance,entry_mode,id,number,reference,scheduled,sr_id,status,utc_offset,weather
157,73042,INGEST,cdaa0ac4-0d92-46bd-abcb-d1b767b97052,159,57725,2018-11-18T21:25:00+00:00,sr:match:14387972,closed,-6,"Indoors Temp: 68 F, Humidity: 54%, Wind: E 4 mph"
158,74447,INGEST,d57bb1cd-b318-4eeb-8fb3-da62b9115b3f,150,57716,2018-11-18T18:00:00+00:00,sr:match:14387966,closed,-5,"Sunny Temp: 59 F, Humidity: 57%, Wind: E 1 mph"
159,69007,INGEST,f16dbf67-073a-469a-9ca1-0ec4df5efb5a,149,57715,2018-11-16T01:20:00+00:00,sr:match:14387940,closed,-8,"Partly Cloudy Temp: 54 F, Humidity: 69%, Wind: South 6 mph"
160,75863,INGEST,fd770a29-aac9-4678-9804-b4975f815b52,155,57721,2018-11-18T18:00:00+00:00,sr:match:14387970,closed,-5,"Cloudy Temp: 42 F, Humidity: 54%, Wind: 1 SE mph"
161,70035,INGEST,08689114-a5b8-403e-86a3-9142cabb5572,165,57731,2018-11-25T18:00:00+00:00,sr:match:14388028,closed,-5,"Partly Clouidy Temp: 60 F, Humidity: 54%, Wind: WNW 7 mph"
162,77982,INGEST,12f20d8b-eec4-4ace-8a9a-bda24a1f3ed2,170,57736,2018-11-25T18:00:00+00:00,sr:match:14388044,closed,-5,"Partly Cloudy Temp: 54 F, Humidity: 64%, Wind: NNW 8 mph"
163,71826,INGEST,13e190ec-ac34-4ac0-8b58-24c992990dc4,176,57742,2018-11-27T01:15:00+00:00,sr:match:14388068,closed,-6,"Clear Temp: 51 F, Humidity: 35%, Wind: NNW 7 mph"
164,25343,INGEST,2a60523c-2dd9-4813-b898-0e94b85988ef,173,57739,2018-11-25T21:05:00+00:00,sr:match:14388048,closed,-8,"Partly Cloudy Temp: 74 F, Humidity: 52%, Wind: N 3 mph"
165,69696,INGEST,6d666892-a696-4597-928c-cc921134b52c,171,57737,2018-11-25T18:00:00+00:00,sr:match:14388038,closed,-5,"Mostly Sunny Temp: 56 F, Humidity: 58%, Wind: NW 10 mph"
166,65684,INGEST,6d814d5f-61f0-4c72-9298-7c4ff4f8dfbb,162,57728,2018-11-22T17:30:00+00:00,sr:match:14388008,closed,-5,"Temp: 68 F, Humidity: 70%, Wind:   mph"
167,57069,INGEST,849eb123-a3cf-4dff-a23c-1e0d7c3c2764,169,57735,2018-11-25T21:25:00+00:00,sr:match:14388030,closed,-5,"Mostly cloudy Temp: 57 F, Humidity: 74%, Wind: SE 11 mph"
168,50436,INGEST,a0580e71-3a12-46c4-b004-511b148ddb46,172,57738,2018-11-25T18:00:00+00:00,sr:match:14388034,closed,-5,"Cloudy Temp: 77 F, Humidity: 62%, Wind: W 7 mph"
169,56122,INGEST,b605d8f6-cf97-4b38-b3f0-b8e365c0bb71,168,57734,2018-11-25T18:00:00+00:00,sr:match:14388018,closed,-5,"Cloudy Temp: 44 F, Humidity: 100%, Wind: S 4 mph"
170,76536,INGEST,bd281699-303a-42bf-ac4d-7598a15ccac0,174,57740,2018-11-25T21:25:00+00:00,sr:match:14388060,closed,-7,"Mostly Sunny Temp: 41 F, Humidity: 26%, Wind: North 7 mph"
171,73017,INGEST,c5bcd0e5-7836-4b68-949d-b2ccc930ed02,164,57730,2018-11-23T01:20:00+00:00,sr:match:14388016,closed,-6,"Indoors Temp: 53 F, Humidity: 72%, Wind: E 5 mph"
172,74002,INGEST,d0751738-03a6-44ee-8378-886a603aa637,167,57733,2018-11-25T18:00:00+00:00,sr:match:14388022,closed,-5,"Partly Cloudy Temp: 57 F, Humidity: 63%, Wind: SSE 1 mph"
173,57799,INGEST,d9eedbdb-b568-46c3-aae7-ce3fdac97ade,166,57732,2018-11-25T18:00:00+00:00,sr:match:14388024,closed,-5,"Cloudy Temp: 44 F, Humidity: 79%, Wind: WSW 12 mph"
174,92076,INGEST,e37e452c-2e85-4c81-849d-417e90567316,163,57729,2018-11-22T21:30:00+00:00,sr:match:14388012,closed,-6,"Temp:  F, Wind:   mph"
175,66872,INGEST,e48868a5-1620-48fc-a431-9c4254fa98bd,175,57741,2018-11-26T01:20:00+00:00,sr:match:14388064,closed,-6,"N/A (Indoors) Temp:  F, Wind:   mph"
176,76465,INGEST,079e40c1-ba02-448a-bf70-6ef6a5ca2c41,185,57751,2018-12-02T18:00:00+00:00,sr:match:14388092,closed,-5,"Cloudy Temp: 52 F, Humidity: 92%, Wind: NNW 3 mph"
177,72262,INGEST,23c4fc63-51c4-44ca-9ab6-a05455ee2061,178,57744,2018-12-02T18:00:00+00:00,sr:match:14388078,closed,-5,"Mostly cloudy Temp: 67 F, Humidity: 44%, Wind: SW 9 mph"
178,54255,INGEST,26c434a3-2bd7-458e-9171-7239d592562d,188,57754,2018-12-02T21:05:00+00:00,sr:match:14388130,closed,-8,"Sunny Skies Temp: 57 F, Humidity: 52%, Wind: WSW 6 mph"
179,77234,INGEST,26e7b0ca-050b-424d-a363-55b4194499a4,181,57747,2018-12-02T18:00:00+00:00,sr:match:14388110,closed,-6,"Snow Temp: 34 F, Humidity: 92%, Wind: N-NE 20 mph"
180,60974,INGEST,2e27bb65-d582-4a90-9de1-657acf9d1841,180,57746,2018-12-02T18:00:00+00:00,sr:match:14388102,closed,-5,"Controlled Climate Temp: 68 F, Humidity: 70%, Wind:   mph"
181,44392,INGEST,2f8ba59c-696f-4f66-87c0-73b68179ffab,179,57745,2018-12-02T18:00:00+00:00,sr:match:14388098,closed,-5,"Sunny Temp: 63 F, Humidity: 49%, Wind: SSW 12 mph"
182,69009,INGEST,3318c137-0754-40ef-ab97-0d78bbc0b947,191,57757,2018-12-02T21:25:00+00:00,sr:match:14388136,closed,-8,"Cloudy Temp: 45 F, Humidity: 81%, Wind: S 2 mph"
183,60904,INGEST,4b2c8412-c358-4866-aff2-9eb3a2c5d670,189,57755,2018-12-02T21:05:00+00:00,sr:match:14388126,closed,-6,"Sunny Temp: 70 F, Humidity: 26%, Wind: SW 13 mph"
184,61069,INGEST,5748e073-d838-4100-bce5-8d41df5a38a2,186,57752,2018-12-03T01:20:00+00:00,sr:match:14388088,closed,-5,"Clear Temp: 57 F, Humidity: 55%, Wind: From S 8 mph"
185,93004,INGEST,5afa3516-b796-4f64-a26b-729093693263,177,57743,2018-11-30T01:20:00+00:00,sr:match:14388076,closed,-6,"Clear Skies Temp: 70 F, Humidity: 59%, Wind: SSE 10 mph"
186,65155,INGEST,760ae7f8-427a-486b-8e98-de8c5cfff078,184,57750,2018-12-02T18:00:00+00:00,sr:match:14388094,closed,-5,"Partly Cloudy Temp: 86 F, Humidity: 68%, Wind: S 15 mph"
187,71741,INGEST,798c0b47-8dfe-4d09-a5b8-3a145bdf5994,182,57748,2018-12-02T18:00:00+00:00,sr:match:14388116,closed,-6,"Sunny Temp: 72 F, Humidity: 28%, Wind: N 7 mph"
188,67030,INGEST,894732c0-3ecb-49f8-9f71-93cce8cab438,183,57749,2018-12-02T18:03:12+00:00,sr:match:14388120,closed,-5,"Cloudy Temp: 78 F, Wind: Southwest 13 MPH mph"
189,69696,INGEST,d01558a4-a01d-4af6-9833-089731a3ef32,192,57758,2018-12-04T01:15:00+00:00,sr:match:14388140,closed,-5,"Cloudy Temp: 36 F, Humidity: 58%, Wind: WNW 15 mph"
190,52568,INGEST,e5bb02a7-4199-42a8-bfb7-6992a37fd7c0,187,57753,2018-12-02T18:00:00+00:00,sr:match:14388080,closed,-5,"Cloudy Temp: 81 F, Humidity: 75%, Wind: SSW 15 mph"
191,65878,INGEST,fedf61ae-4e1d-4e99-abb6-8416bd6a625f,190,57756,2018-12-02T21:25:00+00:00,sr:match:14388134,closed,-5,"Cloudy Temp: 53 F, Humidity: 100%, Wind: WNW 6 mph"
192,62014,INGEST,09218cc7-bb86-4a04-8499-b2c369bb3418,205,57771,2018-12-09T21:25:00+00:00,sr:match:14388196,closed,-7,"Sunny Temp: 70 F, Humidity: 41%, Wind: W 2 mph"
193,59392,INGEST,14c3c1d4-12d1-4991-a28f-f61f04cb1b4e,196,57762,2018-12-09T18:00:00+00:00,sr:match:14388178,closed,-5,"Sunny Temp: 28 F, Humidity: 60%, Wind: N 4 mph"
194,69449,INGEST,2694b815-3828-4171-9959-4d04e709544c,204,57770,2018-12-09T21:05:00+00:00,sr:match:14388186,closed,-8,"Overcast Temp: 54 F, Humidity: 72%, Wind: Northwest 3 mph"
195,53495,INGEST,3310c313-9ba8-4177-bcd5-5570cbf75a33,201,57767,2018-12-09T18:00:00+00:00,sr:match:14388160,closed,-5,"Cloudy Temp: 71 F, Humidity: 91%, Wind: SW 7 mph"
196,69007,INGEST,343f1b57-c31b-487c-b08e-f5e28b660149,208,57774,2018-12-11T01:15:00+00:00,sr:match:14388204,closed,-8,"Cloudy Temp: 48 F, Humidity: 76%, Wind: South 9 mph"
197,57437,INGEST,440677ff-980d-448b-b5a5-90e123ab2ed0,202,57768,2018-12-09T18:00:00+00:00,sr:match:14388156,closed,-5,"Cloudy Temp: 33 F, Humidity: 57%, Wind: NNE 6 mph"
198,71814,INGEST,46f71c61-8ea6-46e0-be42-bbf1f84df9ce,198,57764,2018-12-09T18:00:00+00:00,sr:match:14388172,closed,-6,"Cloudy Temp: 46 F, Humidity: 76%, Wind: NNW 9 mph"
199,61695,INGEST,70cb6f20-2400-4323-a63b-82ac7fe255a0,195,57761,2018-12-10T01:20:00+00:00,sr:match:14388176,closed,-6,"Cloudy Temp: 29 F, Humidity: 70%, Wind: NW 4 mph"
200,60344,INGEST,995e57ad-2128-4779-b01c-d4321725fab4,193,57759,2018-12-07T01:20:00+00:00,sr:match:14388146,closed,-6,"Clear Temp: 44 F, Humidity: 43%, Wind: WSW 5 mph"
201,74336,INGEST,af1ddaf9-438a-4a9a-b69f-4f1dbf062c0b,199,57765,2018-12-09T18:00:00+00:00,sr:match:14388168,closed,-6,"Sunny Temp: 27 F, Humidity: 72%, Wind:  0 mph"
202,25358,INGEST,bd221d6e-c19b-4381-8b97-7d50ec67cc86,203,57769,2018-12-09T21:05:00+00:00,sr:match:14388190,closed,-8,"Temp: 71 F, Humidity: 42%, Wind: NNE 2 mph"
203,77329,INGEST,d7f51766-8ef8-4c8a-800e-2317a660cee8,197,57763,2018-12-09T18:00:00+00:00,sr:match:14388182,closed,-6,"Cloudy Temp: 25 F, Humidity: 70%, Wind: W-SW 10 mph"
204,59119,INGEST,e2b04e79-5376-451b-a15d-a3f67e2a6c37,194,57760,2018-12-09T18:00:00+00:00,sr:match:14388152,closed,-5,"Fair Temp: 31 F, Humidity: 63%, Wind: WSW 12 mph"
205,66087,INGEST,ec8c98c9-700a-414c-bc40-0a824e232281,200,57766,2018-12-09T18:00:00+00:00,sr:match:14388164,closed,-5,"Mostly Cloudy Temp: 82 F, Humidity: 79%, Wind: SSW 13 mph"
206,93127,INGEST,f10313e4-4540-40e3-b1fd-5c0fa348677e,206,57772,2018-12-09T21:25:00+00:00,sr:match:14388192,closed,-6,"T: 51; H: 55; W: NW 10 mph Temp:  F, Wind:   mph"
207,53960,INGEST,f1495b1e-7fc2-44d3-bf95-dbe67338d6a5,207,57773,2018-12-09T21:25:00+00:00,sr:match:14388198,closed,-8,"Partly Cloudy Temp: 55 F, Humidity: 74%, Wind: NW 8 mph"
208,74538,INGEST,007a713f-6d18-4ece-8f85-3c0fca600b7a,220,57786,2018-12-16T18:00:00+00:00,sr:match:14388244,closed,-5,"Rain Temp: 40 F, Humidity: 95%, Wind: N 6 mph"
209,76596,INGEST,21041145-da67-4852-9131-c4a898f22050,211,57777,2018-12-16T01:20:00+00:00,sr:match:14388218,closed,-7,"Partly Cloudy Temp: 46 F, Humidity: 35%, Wind:  0 mph"
210,65280,INGEST,42c37aa3-2735-4a0c-ab49-316b35476387,222,57788,2018-12-16T21:25:00+00:00,sr:match:14388254,closed,-5,"Cloudy Temp: 42 F, Humidity: 90%, Wind: From NNW 5 mph"
211,70031,INGEST,498673fe-86b6-496f-b25d-c8ddcd514813,213,57779,2018-12-16T18:00:00+00:00,sr:match:14388234,closed,-5,"Cloudy, Rain Temp: 43 F, Humidity: 97%, Wind: NNW 10-20 mph"
212,62372,INGEST,75fd3a20-3899-49d7-84e8-5462dac07b57,215,57781,2018-12-16T18:00:00+00:00,sr:match:14388230,closed,-6,"Fair Temp: 45 F, Humidity: 63%, Wind: W 10 mph"
213,77982,INGEST,78bea1ee-8197-4381-ab4f-20d46e6e7c6a,210,57776,2018-12-15T21:30:00+00:00,sr:match:14388222,closed,-5,"Cloudy Temp: 51 F, Humidity: 85%, Wind: NNE 8 mph"
